timestamp,volume,hour,day_of_week,is_weekend,is_holiday
2025-01-03 14:00:00,72,14,4,0,0
2025-01-03 15:00:00,90,15,4,0,0
2025-01-03 16:00:00,100,16,4,0,0
2025-01-03 17:00:00,103,17,4,0,0
2025-01-03 18:00:00,107,18,4,0,0
2025-01-03 19:00:00,70,19,4,0,0
2025-01-03 20:00:00,44,20,4,0,0
2025-01-03 21:00:00,45,21,4,0,0
2025-01-03 22:00:00,31,22,4,0,0
2025-01-03 23:00:00,24,23,4,0,0
2025-01-04 00:00:00,14,0,5,1,0
2025-01-04 01:00:00,8,1,5,1,0
2025-01-04 02:00:00,4,2,5,1,0
2025-01-04 03:00:00,4,3,5,1,0
2025-01-04 04:00:00,7,4,5,1,0
2025-01-04 05:00:00,23,5,5,1,0
2025-01-04 06:00:00,46,6,5,1,0
2025-01-04 07:00:00,68,7,5,1,0
2025-01-04 08:00:00,95,8,5,1,0
2025-01-04 09:00:00,67,9,5,1,0
2025-01-04 10:00:00,49,10,5,1,0
2025-01-04 11:00:00,70,11,5,1,0
2025-01-04 12:00:00,88,12,5,1,0
2025-01-04 13:00:00,71,13,5,1,0
2025-01-04 14:00:00,48,14,5,1,0
2025-01-04 15:00:00,61,15,5,1,0
2025-01-04 16:00:00,82,16,5,1,0
2025-01-04 17:00:00,75,17,5,1,0
2025-01-04 18:00:00,67,18,5,1,0
2025-01-04 19:00:00,52,19,5,1,0
2025-01-04 20:00:00,36,20,5,1,0
2025-01-04 21:00:00,32,21,5,1,0
2025-01-04 22:00:00,16,22,5,1,0
2025-01-04 23:00:00,14,23,5,1,0
2025-01-05 00:00:00,13,0,6,1,0
2025-01-05 01:00:00,6,1,6,1,0
2025-01-05 02:00:00,4,2,6,1,0
2025-01-05 03:00:00,3,3,6,1,0
2025-01-05 04:00:00,6,4,6,1,0
2025-01-05 05:00:00,21,5,6,1,0
2025-01-05 06:00:00,48,6,6,1,0
2025-01-05 07:00:00,54,7,6,1,0
2025-01-05 08:00:00,79,8,6,1,0
2025-01-05 09:00:00,57,9,6,1,0
2025-01-05 10:00:00,44,10,6,1,0
2025-01-05 11:00:00,59,11,6,1,0
2025-01-05 12:00:00,65,12,6,1,0
2025-01-05 13:00:00,53,13,6,1,0
2025-01-05 14:00:00,50,14,6,1,0
2025-01-05 15:00:00,54,15,6,1,0
2025-01-05 16:00:00,64,16,6,1,0
2025-01-05 17:00:00,75,17,6,1,0
2025-01-05 18:00:00,65,18,6,1,0
2025-01-05 19:00:00,37,19,6,1,0
2025-01-05 20:00:00,43,20,6,1,0
2025-01-05 21:00:00,22,21,6,1,0
2025-01-05 22:00:00,21,22,6,1,0
2025-01-05 23:00:00,15,23,6,1,0
2025-01-06 00:00:00,20,0,0,0,0
2025-01-06 01:00:00,9,1,0,0,0
2025-01-06 02:00:00,4,2,0,0,0
2025-01-06 03:00:00,4,3,0,0,0
2025-01-06 04:00:00,9,4,0,0,0
2025-01-06 05:00:00,33,5,0,0,0
2025-01-06 06:00:00,63,6,0,0,0
2025-01-06 07:00:00,85,7,0,0,0
2025-01-06 08:00:00,111,8,0,0,0
2025-01-06 09:00:00,84,9,0,0,0
2025-01-06 10:00:00,77,10,0,0,0
2025-01-06 11:00:00,86,11,0,0,0
2025-01-06 12:00:00,84,12,0,0,0
2025-01-06 13:00:00,77,13,0,0,0
2025-01-06 14:00:00,76,14,0,0,0
2025-01-06 15:00:00,86,15,0,0,0
2025-01-06 16:00:00,91,16,0,0,0
2025-01-06 17:00:00,103,17,0,0,0
2025-01-06 18:00:00,92,18,0,0,0
2025-01-06 19:00:00,57,19,0,0,0
2025-01-06 20:00:00,53,20,0,0,0
2025-01-06 21:00:00,39,21,0,0,0
2025-01-06 22:00:00,29,22,0,0,0
2025-01-06 23:00:00,22,23,0,0,0
2025-01-07 00:00:00,22,0,1,0,0
2025-01-07 01:00:00,11,1,1,0,0
2025-01-07 02:00:00,5,2,1,0,0
2025-01-07 03:00:00,5,3,1,0,0
2025-01-07 04:00:00,10,4,1,0,0
2025-01-07 05:00:00,29,5,1,0,0
2025-01-07 06:00:00,63,6,1,0,0
2025-01-07 07:00:00,90,7,1,0,0
2025-01-07 08:00:00,103,8,1,0,0
2025-01-07 09:00:00,86,9,1,0,0
2025-01-07 10:00:00,65,10,1,0,0
2025-01-07 11:00:00,99,11,1,0,0
2025-01-07 12:00:00,82,12,1,0,0
2025-01-07 13:00:00,71,13,1,0,0
2025-01-07 14:00:00,79,14,1,0,0
2025-01-07 15:00:00,88,15,1,0,0
2025-01-07 16:00:00,97,16,1,0,0
2025-01-07 17:00:00,108,17,1,0,0
2025-01-07 18:00:00,81,18,1,0,0
2025-01-07 19:00:00,55,19,1,0,0
2025-01-07 20:00:00,51,20,1,0,0
2025-01-07 21:00:00,38,21,1,0,0
2025-01-07 22:00:00,33,22,1,0,0
2025-01-07 23:00:00,20,23,1,0,0
